,Topic,TweetId,AuthorId,AuthorName,AuthorUsername,#urls,urls,Text,canonical_urls
286,6.0,1472562360455884800,1652541,Reuters,Reuters,0,https://t.co/P7fUyhiZIf,WATCH: A climate activist group has targeted Exxon Mobil with a shareholder resolution calling for deeper cuts in its carbon emissions https://t.co/P7fUyhiZIf https://t.co/7NlhNlNOhj,https://crooksandliars.com/2021/09/joe-manchin-dana-bash-climate-crisis
287,6.0,1472562360455884800,1652541,Reuters,Reuters,1,https://t.co/7NlhNlNOhj,WATCH: A climate activist group has targeted Exxon Mobil with a shareholder resolution calling for deeper cuts in its carbon emissions https://t.co/P7fUyhiZIf https://t.co/7NlhNlNOhj,https://crooksandliars.com/2021/09/joe-manchin-dana-bash-climate-crisis
291,6.0,1472366066714042370,1652541,Reuters,Reuters,0,https://t.co/P7fUyhiZIf,ICYMI: Climate activist group Follow This urged Exxon Mobil to publish medium and long-term targets to reduce the greenhouse gas emissions from its operations and the burning of fuels sold to customers https://t.co/P7fUyhiZIf https://t.co/bRisNWFaJR,https://crooksandliars.com/2021/09/joe-manchin-dana-bash-climate-crisis
292,6.0,1472366066714042370,1652541,Reuters,Reuters,1,https://t.co/bRisNWFaJR,ICYMI: Climate activist group Follow This urged Exxon Mobil to publish medium and long-term targets to reduce the greenhouse gas emissions from its operations and the burning of fuels sold to customers https://t.co/P7fUyhiZIf https://t.co/bRisNWFaJR,https://crooksandliars.com/2021/09/joe-manchin-dana-bash-climate-crisis
294,6.0,1472310199922749440,1002918965549588481,Twheater,Twheater2,0,https://t.co/oNxDbF4eVx,WATCH: Dutch climate activist group Follow This urged Exxon Mobil to publish its carbon emissions reduction targets… https://t.co/oNxDbF4eVx,http://dlvr.it/S7Qrfb
295,6.0,1472305668858081282,1652541,Reuters,Reuters,0,https://t.co/P7fUyhiZIf,WATCH: Dutch climate activist group Follow This urged Exxon Mobil to publish its carbon emissions reduction targets https://t.co/P7fUyhiZIf https://t.co/z9HZuz49bl,http://dlvr.it/S7Qrdc
296,6.0,1472305668858081282,1652541,Reuters,Reuters,1,https://t.co/z9HZuz49bl,WATCH: Dutch climate activist group Follow This urged Exxon Mobil to publish its carbon emissions reduction targets https://t.co/P7fUyhiZIf https://t.co/z9HZuz49bl,https://ift.tt/3npNdt3
301,6.0,1472259400320655364,1180263306092781571,Tiggerpan,DianePannizzo,0,https://t.co/EVxZmRMUkE,Activist investor dials up pressure against Exxon Mobil to act on climate - Yahoo Finance https://t.co/EVxZmRMUkE,https://www.jwnenergy.com/article/2021/9/8/exxon-to-have-gas-graded-for-methane-leaks-amid-cl/
303,6.0,1472245271266476032,1652541,Reuters,Reuters,0,https://t.co/P7fUyhAB6P,ICYMI: A climate activist group has targeted Exxon Mobil with a shareholder resolution calling for deeper cuts in its carbon emissions https://t.co/P7fUyhAB6P https://t.co/ml0JK37ANZ,https://dearwallstreet.com/article/1610d820318fcc?src=tw
304,6.0,1472245271266476032,1652541,Reuters,Reuters,1,https://t.co/ml0JK37ANZ,ICYMI: A climate activist group has targeted Exxon Mobil with a shareholder resolution calling for deeper cuts in its carbon emissions https://t.co/P7fUyhAB6P https://t.co/ml0JK37ANZ,https://twitter.com/DearWall/status/1432820501349609482/photo/1
346,6.0,1471880854372769796,1116936548958732288,Extinction Rebellion Dorking,xrdorking,0,https://t.co/gk5utIJB56,Activist group targets Exxon with shareholder climate resolution https://t.co/gk5utIJB56,https://gizmodo.com/exxon-kicked-out-of-climate-group-it-helped-form-1847451306
351,6.0,1471835116066508806,280747092,BoardProspects,BoardProspects,0,https://t.co/hH1HIqrCHw,Activist Investor Dials Up Pressure Against Exxon Mobil to Act on Climate https://t.co/hH1HIqrCHw,https://ift.tt/3AxgLIJ
360,6.0,1471757495735660545,2948966985,Gens,gefra01,0,https://t.co/j1cEBtw2wW,Activist investor dials up pressure against Exxon Mobil to act on climate https://t.co/j1cEBtw2wW by @AkikoFujita https://t.co/HJdzp3P2xB,https://bit.ly/3lO4jjI
361,6.0,1471757495735660545,2948966985,Gens,gefra01,1,https://t.co/HJdzp3P2xB,Activist investor dials up pressure against Exxon Mobil to act on climate https://t.co/j1cEBtw2wW by @AkikoFujita https://t.co/HJdzp3P2xB,http://dlvr.it/S5KyKt
367,6.0,1471646673336164354,1313977031533752320,ClimateGuru,WebWorks19,0,https://t.co/8U0b5fnLHS,Activist investor dials up pressure against Exxon Mobil to act on climate #SmartNews  https://t.co/8U0b5fnLHS,https://www.bloomberg.com/news/articles/2021-08-06/exxon-mobil-suspended-from-international-conservation-alliance
368,6.0,1471622558235697156,19546277,Yahoo Finance,YahooFinance,0,https://t.co/5ps9vH0scI,Activist investor dials up pressure against Exxon Mobil to act on climate https://t.co/5ps9vH0scI by @AkikoFujita https://t.co/pSOZQvCqCk,https://www.foxbusiness.com/markets/exxon-suspended-climate-advocacy-group-helped-form
369,6.0,1471622558235697156,19546277,Yahoo Finance,YahooFinance,1,https://t.co/pSOZQvCqCk,Activist investor dials up pressure against Exxon Mobil to act on climate https://t.co/5ps9vH0scI by @AkikoFujita https://t.co/pSOZQvCqCk,https://zpr.io/qx3azsKpKaWY
370,6.0,1471582337179824136,578380018,Joey Sales,sales_js,0,https://t.co/70VbuRnjJ4,Activist investor dials up pressure against Exxon Mobil to act on climate https://t.co/70VbuRnjJ4 via @Yahoo,https://www.bloomberg.com/news/articles/2021-08-06/exxon-mobil-suspended-from-international-conservation-alliance
371,6.0,1471576394325016582,19546277,Yahoo Finance,YahooFinance,0,https://t.co/632Q9uKXwN,Activist investor dials up pressure against Exxon Mobil to act on climate https://t.co/632Q9uKXwN by @AkikoFujita https://t.co/vhoBRhBM7H,https://twitter.com/Sustain84105430/status/1424717339056951306/photo/1
372,6.0,1471576394325016582,19546277,Yahoo Finance,YahooFinance,1,https://t.co/vhoBRhBM7H,Activist investor dials up pressure against Exxon Mobil to act on climate https://t.co/632Q9uKXwN by @AkikoFujita https://t.co/vhoBRhBM7H,https://www.hartenergy.com/exclusives/exxon-mobil-suspended-climate-advocacy-group-195556?mkt_tok=NDMzLU9ESy04ODkAAAF-yVZHyNZXcCfJ1i2cqSkQ_xDdhLnm3UNOgPkNTPg8NbH-MPIGHVOPChsmf8Ihpr4QCyJhyCjh69DyMuz5ZldkrxfYp2xMVv6N84qDASwczXKC
379,6.0,1471238975671181313,2826917226,IEEFA.org,ieefa_institute,0,https://t.co/EflQpqdA15,Climate activists targeting ExxonMobil again with shareholder proposal. via @ronbousso1 @sabrinavalle $XOM https://t.co/EflQpqdA15,https://www.reuters.com/business/exxon-suspended-climate-advocacy-group-it-helped-form-2021-08-06/
385,6.0,1471003355665387521,881386618736738304,Welund,welundrisk,0,https://t.co/YNyVpKPz2s,"Activist group targets Exxon with shareholder climate resolution
https://t.co/YNyVpKPz2s",https://trib.al/9TEED3V
396,6.0,1470743301640892418,1192121159288012801,XR Devizes & Marlborough ⏳,XRDevizesMarl,0,https://t.co/s5tcxXwp89,"it is becoming clear that shareholders are increasingly seeking greater levels of decarbonisation from @exxonmobil

Not before time 
#ClimateCrisis #ClimateAction

https://t.co/s5tcxXwp89",https://theyouthtimes.com/news-details/20291/Exxon-Suspended-From-Climate-Advocacy-Group-It-Helped-Form
410,6.0,1470567435962970113,50484750,Not Rappaport,NotRappaport,0,https://t.co/npfnke9z4q,Activist group targets Exxon with shareholder climate resolution https://t.co/npfnke9z4q #ClimateAction,https://www.foxbusiness.com/markets/exxon-suspended-climate-advocacy-group-helped-form
412,6.0,1470551610820497409,15110357,Reuters Business,ReutersBiz,0,https://t.co/TNjVSNNUSL,WATCH: Climate activist group Follow This urged Exxon Mobil to publish medium and long-term targets to reduce the greenhouse gas emissions from its operations and the burning of fuels sold to customers https://t.co/TNjVSNNUSL https://t.co/DiR79IP5n5,https://bigearth-data.com/go/yekwg4vd
413,6.0,1470551610820497409,15110357,Reuters Business,ReutersBiz,1,https://t.co/DiR79IP5n5,WATCH: Climate activist group Follow This urged Exxon Mobil to publish medium and long-term targets to reduce the greenhouse gas emissions from its operations and the burning of fuels sold to customers https://t.co/TNjVSNNUSL https://t.co/DiR79IP5n5,https://ift.tt/3xuK38E
417,6.0,1470513869042827264,1652541,Reuters,Reuters,0,https://t.co/P7fUyhiZIf,Climate activist group Follow This urged Exxon Mobil to publish medium and long-term targets to reduce the greenhouse gas emissions from its operations and the burning of fuels sold to customers https://t.co/P7fUyhiZIf https://t.co/yRsXDSGKQv,https://www.foxbusiness.com/markets/exxon-suspended-climate-advocacy-group-helped-form
418,6.0,1470513869042827264,1652541,Reuters,Reuters,1,https://t.co/yRsXDSGKQv,Climate activist group Follow This urged Exxon Mobil to publish medium and long-term targets to reduce the greenhouse gas emissions from its operations and the burning of fuels sold to customers https://t.co/P7fUyhiZIf https://t.co/yRsXDSGKQv,https://www.reuters.com/business/exxon-suspended-climate-advocacy-group-it-helped-form-2021-08-06/
420,6.0,1470500970484453382,377019230,Merck Family Fund,merckff,0,https://t.co/cxY8C0HcIz,Investor group faults new Exxon board members on climate transition plan https://t.co/cxY8C0HcIz,https://greentechlead.com/climate/climate-leadership-council-suspends-founding-member-exxon-37921
421,6.0,1470491214008885249,15110357,Reuters Business,ReutersBiz,0,https://t.co/TNjVSNNUSL,WATCH: Dutch climate activist group Follow This urged Exxon Mobil to publish its carbon emissions reduction targets https://t.co/TNjVSNNUSL https://t.co/CCcX0bHvoB,https://www.foxbusiness.com/markets/exxon-suspended-climate-advocacy-group-helped-form
422,6.0,1470491214008885249,15110357,Reuters Business,ReutersBiz,1,https://t.co/CCcX0bHvoB,WATCH: Dutch climate activist group Follow This urged Exxon Mobil to publish its carbon emissions reduction targets https://t.co/TNjVSNNUSL https://t.co/CCcX0bHvoB,https://ift.tt/3xtL4y2
427,6.0,1470454722826059783,1652541,Reuters,Reuters,0,https://t.co/P7fUyhAB6P,Dutch climate activist group Follow This urged Exxon Mobil to publish its carbon emissions reduction targets https://t.co/P7fUyhAB6P https://t.co/SIuG47Vz8f,https://www.bnnbloomberg.ca/exxon-mobil-suspended-from-international-conservation-alliance-1.1637521?taid=610dd410e362840001f2023e&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter
428,6.0,1470454722826059783,1652541,Reuters,Reuters,1,https://t.co/SIuG47Vz8f,Dutch climate activist group Follow This urged Exxon Mobil to publish its carbon emissions reduction targets https://t.co/P7fUyhAB6P https://t.co/SIuG47Vz8f,https://gizmodo.com/exxon-may-finally-release-a-climate-plan-that-only-sort-1847437145?utm_medium=sharefromsite&amp;utm_source=_twitter
429,6.0,1470448222686662661,19546277,Yahoo Finance,YahooFinance,0,https://t.co/jrQB8YVpQB,.@followthis2015 Founder Mark van Baal discusses their target on Exxon with shareholder climate resolution: https://t.co/jrQB8YVpQB,https://www.oann.com/exxon-suspended-from-climate-advocacy-group-it-helped-form/?utm_source=rss&amp;utm_medium=rss&amp;utm_campaign=exxon-suspended-from-climate-advocacy-group-it-helped-form
430,6.0,1470437836088348672,2923618811,Follow This,followthis2015,0,https://t.co/lPnsbgzi0n,"Investor Group to Hit Exxon on Climate Following U.S. Success

Investor group Follow This plans to file #climate resolutions with #ExxonMobil Corp. and Marathon Petroleum Corp. 

Read: https://t.co/lPnsbgzi0n
🧵👇 #ClimateAction  #ClimateEmergency https://t.co/9CPPgFygxv",https://twitter.com/MMNewzz/status/1423800611624075265/photo/1
431,6.0,1470437836088348672,2923618811,Follow This,followthis2015,1,https://t.co/9CPPgFygxv,"Investor Group to Hit Exxon on Climate Following U.S. Success

Investor group Follow This plans to file #climate resolutions with #ExxonMobil Corp. and Marathon Petroleum Corp. 

Read: https://t.co/lPnsbgzi0n
🧵👇 #ClimateAction  #ClimateEmergency https://t.co/9CPPgFygxv",https://reut.rs/3xA5k12
434,6.0,1470430817591566337,15110357,Reuters Business,ReutersBiz,0,https://t.co/TNjVSNNUSL,WATCH: A climate activist group has targeted Exxon Mobil with a shareholder resolution calling for deeper cuts in its carbon emissions https://t.co/TNjVSNNUSL https://t.co/AcgJjvUHaH,https://www.reuters.com/business/exxon-suspended-climate-advocacy-group-it-helped-form-2021-08-06/
435,6.0,1470430817591566337,15110357,Reuters Business,ReutersBiz,1,https://t.co/AcgJjvUHaH,WATCH: A climate activist group has targeted Exxon Mobil with a shareholder resolution calling for deeper cuts in its carbon emissions https://t.co/TNjVSNNUSL https://t.co/AcgJjvUHaH,https://www.reuters.com/business/exxon-suspended-climate-advocacy-group-it-helped-form-2021-08-06/
440,6.0,1470418875661443074,960936179838439427,EnerGroup LLC,energroupllc,0,https://t.co/puO3ff03rP,Investor Group to Hit Exxon on Climate https://t.co/puO3ff03rP https://t.co/6YmoG6OvO6,https://financialpost.com/pmn/business-pmn/exxon-suspended-from-climate-advocacy-group-it-helped-form
441,6.0,1470418875661443074,960936179838439427,EnerGroup LLC,energroupllc,1,https://t.co/6YmoG6OvO6,Investor Group to Hit Exxon on Climate https://t.co/puO3ff03rP https://t.co/6YmoG6OvO6,https://bizdailies.com/News/Story/12154132
445,6.0,1470409424875311105,1652541,Reuters,Reuters,0,https://t.co/P7fUyhiZIf,A climate activist group has targeted Exxon Mobil with a shareholder resolution calling for deeper cuts in its carbon emissions https://t.co/P7fUyhiZIf https://t.co/a2brGMmt1H,https://twitter.com/ReutersBiz/status/1423728105898790913/photo/1
446,6.0,1470409424875311105,1652541,Reuters,Reuters,1,https://t.co/a2brGMmt1H,A climate activist group has targeted Exxon Mobil with a shareholder resolution calling for deeper cuts in its carbon emissions https://t.co/P7fUyhiZIf https://t.co/a2brGMmt1H,http://reut.rs/3fBZxS8
447,6.0,1470407363295387649,1886534490,Nanette Wizov,Nanowiz05,0,https://t.co/hAdkbi3LTd,"no polluters remorse @exxonmobil
#Liars
#targetthis #ActOnClimate #ClimateActionNow #ClimateCatastrophe

Reuters: Activist group targets Exxon with shareholder climate resolution.
https://t.co/hAdkbi3LTd",https://twitter.com/ReutersBiz/status/1423728100697858057/photo/1
452,6.0,1470397451282661378,855684190980984833,OilPeopleContact,OilPeopleContac,0,https://t.co/HwAwb5lcyn,Investor Group to Hit Exxon on Climate https://t.co/HwAwb5lcyn,http://dlvr.it/S59Z9k
453,6.0,1470395592681611281,277634571,Carlos Sanchez,csanchezeco,0,https://t.co/k5so1UOqqi,"Activist group ""Follow This"" targets Exxon with shareholder #climate resolution.

Link to article - https://t.co/k5so1UOqqi

Visit my #ESG blog - https://t.co/N7D16q1Zcm https://t.co/EHWcYmWP0Q",https://www.stck.pro/news/XOM/14789282
454,6.0,1470395592681611281,277634571,Carlos Sanchez,csanchezeco,1,https://t.co/N7D16q1Zcm,"Activist group ""Follow This"" targets Exxon with shareholder #climate resolution.

Link to article - https://t.co/k5so1UOqqi

Visit my #ESG blog - https://t.co/N7D16q1Zcm https://t.co/EHWcYmWP0Q",https://www.stck.pro/news/XOM
455,6.0,1470395592681611281,277634571,Carlos Sanchez,csanchezeco,2,https://t.co/EHWcYmWP0Q,"Activist group ""Follow This"" targets Exxon with shareholder #climate resolution.

Link to article - https://t.co/k5so1UOqqi

Visit my #ESG blog - https://t.co/N7D16q1Zcm https://t.co/EHWcYmWP0Q",https://twitter.com/StckPro/status/1423718606119084033/photo/1
456,6.0,1470384258422349829,8808312,edie,edie,0,https://t.co/lkTCczBvpx,"Activist investors are putting forward a shareholder resolution, ahead of ExxonMobil's annual general meeting in 2022, that would require the firm to align emissions goals with #climate finance

#FossilFuel 

https://t.co/lkTCczBvpx",https://www.downrightnews.com
459,6.0,1470379082445508610,1388058158363406339,raju kuamr,rajukua08341460,0,https://t.co/2sSUlrZ5M0,Activist group targets Exxon on climate - https://t.co/2sSUlrZ5M0 https://t.co/ogiE8LbcCB,http://dlvr.it/S59XXr
460,6.0,1470379082445508610,1388058158363406339,raju kuamr,rajukua08341460,1,https://t.co/ogiE8LbcCB,Activist group targets Exxon on climate - https://t.co/2sSUlrZ5M0 https://t.co/ogiE8LbcCB,https://twitter.com/Carolyn6800/status/1423715785256570881/photo/1
462,6.0,1470371706283847680,1420660507,Woody,Knewz_Currently,0,https://t.co/whTvQOiyNp,Activist group targets Exxon on climate https://t.co/whTvQOiyNp https://t.co/qLswr4wizB,https://twitter.com/4StateNews/status/1423715698262659076/photo/1
463,6.0,1470371706283847680,1420660507,Woody,Knewz_Currently,1,https://t.co/qLswr4wizB,Activist group targets Exxon on climate https://t.co/whTvQOiyNp https://t.co/qLswr4wizB,https://invst.ly/vo4ea
464,6.0,1470371703536566273,53106736,Sociability,Sociability,0,https://t.co/Su13mXaSsW,Activist group targets Exxon on climate https://t.co/Su13mXaSsW https://t.co/dUt9H0uAJb,https://newsfilter.io/articles/exxon-suspended-from-climate-advocacy-group-it-helped-form-b8899a9ced010fa9962ac0c7507a42d8
465,6.0,1470371703536566273,53106736,Sociability,Sociability,1,https://t.co/dUt9H0uAJb,Activist group targets Exxon on climate https://t.co/Su13mXaSsW https://t.co/dUt9H0uAJb,https://trib.al/17i4koA
469,6.0,1470369801633611776,838321345570156545,🇺🇦🐱🖤🕊️ VAXXED THO 🏳️‍🌈🖤🐱🇺🇦,rogue_corq,0,https://t.co/Hj7334O97x,Activist group targets Exxon on climate https://t.co/Hj7334O97x #reuters,https://twitter.com/Street24Mag/status/1423688874782388226/photo/1
470,6.0,1470369801595805698,786074065853349888,Javed Bashir🔶LibDem Parliamentary Spokesperson🔶,realJavedBashir,0,https://t.co/sg8OntuUky,Activist group targets Exxon on climate https://t.co/sg8OntuUky .@realJavedBashir,https://gizmodo.com/exxon-may-finally-release-a-climate-plan-that-only-sort-1847437145
471,6.0,1470368043041701892,880112324987822082,The Chestnut Post,TheChestnutPost,0,https://t.co/lcmVjp4kLz,Activist group targets Exxon on climate https://t.co/lcmVjp4kLz,https://www.bloomberg.com/news/articles/2021-08-06/exxon-mobil-suspended-from-international-conservation-alliance
473,6.0,1470365647724969994,1352083685739163648,DỦNG,DNG90254770,0,https://t.co/HCxYE8WLf3,Activist group targets Exxon with shareholder climate resolution | Reuters https://t.co/HCxYE8WLf3,https://trib.al/EVrI7gH
479,6.0,1470337903788273673,129057106,Hart Energy,hartenergy,0,https://t.co/OvFQl5aezz,"Climate Activist Group Targets Exxon Mobil over Energy Transition Strategy
https://t.co/OvFQl5aezz",https://gizmodo.com/exxon-may-finally-release-a-climate-plan-that-only-sort-1847437145
480,6.0,1470337868979744774,237806811,Oil and Gas Investor,OilnGasInvestor,0,https://t.co/unVHW2FxKI,Climate Activist Group Targets Exxon Mobil over Energy Transition Strategy https://t.co/unVHW2FxKI,https://newsfilter.io/articles/exxon-mobil-booted-from-climate-leadership-council-0bfa4349cd65b3e854bc77a4904114d1
481,6.0,1470329911210430466,1095426620507201536,Pᴏʟɪᴍᴇx Sʟᴇᴇᴠᴇs & Pᴀᴄᴋᴀɢɪɴɢ Sᴜʙsᴛʀᴀᴛᴇs,PolimexG,0,https://t.co/UdYYVpYATS,Exxon faces backlash from activist investors over updated climate targets https://t.co/UdYYVpYATS,https://www.nytimes.com/2021/08/05/climate/oil-facebook-ads-biden.html
482,6.0,1470321865025597440,1468675533366042627,Walter Kelly,walyert1689,0,https://t.co/a4TMTQjxq3,Activist group targets Exxon with shareholder climate resolution.    Energy is more expensive because it’s being forced to cut production. https://t.co/a4TMTQjxq3,https://www.gamesurfer.net/2021/08/05/facebook-charged-of-permitting-exxon-to-press-environment-false-information/
485,6.0,1470307869170053123,2948966985,Gens,gefra01,0,https://t.co/GBj2M7Ihyi,Activist group targets Exxon with shareholder climate resolution https://t.co/GBj2M7Ihyi https://t.co/QaZTlzJGqT,https://www.game-rawe.com/technology/facebook-accused-of-allowing-exxon-to-push-climate-misinformation/
486,6.0,1470307869170053123,2948966985,Gens,gefra01,1,https://t.co/QaZTlzJGqT,Activist group targets Exxon with shareholder climate resolution https://t.co/GBj2M7Ihyi https://t.co/QaZTlzJGqT,https://www.theglobeandmail.com/business/international-business/article-exxon-considers-pledging-net-zero-carbon-emissions-by-2050-according/?utm_medium=Referrer:+Social+Network+/+Media&amp;utm_campaign=Shared+Web+Article+Links
489,6.0,1470294459548065792,71594919,Daily Maverick,dailymaverick,0,https://t.co/USe6tGtps1,International Finance: Investor Group to Hit Exxon on Climate Following U.S. Success https://t.co/USe6tGtps1,https://www.nbcnews.com/science/environment/exxon-lobbyist-duped-greenpeace-says-climate-policy-was-ploy-rcna1317
491,6.0,1470273204627324931,279614869,Bob Ward,ret_ward,0,https://t.co/vZlFtQOAN2,Activist group targets Exxon with shareholder climate resolution https://t.co/vZlFtQOAN2,https://m.youtube.com/watch?v=fr15LSnNA3U
493,6.0,1470250737380773895,1100017331995115520,@doublemcPRO,Moses62806123,0,https://t.co/bPzc9orKuE,International Finance: Investor Group to Hit Exxon on Climate Following U.S. Success https://t.co/bPzc9orKuE,https://www.eenews.net/articles/exxon-sting-ensnares-think-tanks-with-climate-credentials/
495,6.0,1470212531687989255,2515866923,99%problems 🌹🌎☮️✊🦖🦕,jay_james84,0,https://t.co/9Ip1fcrAzB,Activist Group Targets Exxon With Shareholder Climate Resolution https://t.co/9Ip1fcrAzB,https://www.nytimes.com/2021/05/26/business/exxon-mobil-climate-change.html?mc=aud_dev&amp;campaign_id=23848483353080063&amp;ad-keywords=auddevgate&amp;subid1=TAFI&amp;adset_id=23848552400730063&amp;ad_id=23848552400830063&amp;ad_name=INTER_20_XXXX_XXX_1P_CD_XX_XX_SITEVISITXREM_X_XXXX_COALL_P_X_X_EN_FBIG_OA_XXXX_00_EN_JP_NFLINKS&amp;adset_name=https%3A%2F%2Fwww.nytimes.com%2F2021%2F05%2F26%2Fbusiness%2Fexxon-mobil-climate-change.html&amp;fbclid=IwAR1-YpDAfRGcSnu0rHFNARXTo1QaDuXbyklKNzXmflwcgsisOe4a6guNkGk
497,6.0,1470199138365198340,833403702295797765,Rebecca Blount,wheresmykeeper,0,https://t.co/HVIKk1bppp,"Activist Group Targets Exxon With Shareholder Climate Resolution 
https://t.co/HVIKk1bppp",https://bit.ly/3zjDOWC
